user_id,churn_probability,uplift_score,segment,clv_proxy,scored_at,clv_threshold,is_vip,recommended_action,action_cost,expected_clv_saved,roi,targeted
CUST_00000,0.6398,0.4746,Persuadable,14.92,2026-04-02T00:56:15.490722,3527.9975,False,Email Voucher 10%,10,4.53,0.45,False
CUST_00001,0.1397,-0.0222,Sure_Thing,1835.51,2026-04-02T00:56:15.490722,3527.9975,False,No Action,0,0.0,0.0,False
CUST_00002,0.6178,-0.4021,Sleeping_Dog,72.1,2026-04-02T00:56:15.490722,3527.9975,False,SUPPRESS,0,0.0,0.0,False
CUST_00003,0.1472,-0.2284,Sleeping_Dog,1800.73,2026-04-02T00:56:15.490722,3527.9975,False,SUPPRESS,0,0.0,0.0,False
CUST_00004,0.6725,0.417,Persuadable,101.1,2026-04-02T00:56:15.490722,3527.9975,False,Email Voucher 10%,10,28.35,2.84,False
CUST_00005,0.7135,0.4062,Persuadable,729.33,2026-04-02T00:56:15.490722,3527.9975,False,Email Voucher 10%,10,211.38,21.14,False
CUST_00006,0.4895,-0.0933,Sure_Thing,1864.64,2026-04-02T00:56:15.490722,3527.9975,False,No Action,0,0.0,0.0,False
CUST_00007,0.42,-0.2045,Sleeping_Dog,274.45,2026-04-02T00:56:15.490722,3527.9975,False,SUPPRESS,0,0.0,0.0,False
CUST_00008,0.6333,0.3592,Persuadable,2941.01,2026-04-02T00:56:15.490722,3527.9975,False,Email Voucher 10%,10,669.02,66.9,True
CUST_00009,0.1257,-0.1777,Sleeping_Dog,3432.59,2026-04-02T00:56:15.490722,3527.9975,False,SUPPRESS,0,0.0,0.0,False
CUST_00010,0.3081,-0.3249,Sleeping_Dog,545.49,2026-04-02T00:56:15.490722,3527.9975,False,SUPPRESS,0,0.0,0.0,False
CUST_00011,0.112,0.1373,Sure_Thing,307.58,2026-04-02T00:56:15.490722,3527.9975,False,No Action,0,4.73,0.0,False
CUST_00012,0.3641,0.5273,Sure_Thing,5584.81,2026-04-02T00:56:15.490722,3527.9975,True,No Action,0,1072.23,0.0,False
CUST_00013,0.6018,0.0205,Lost_Cause,4935.57,2026-04-02T00:56:15.490722,3527.9975,True,Escalate CS,30,60.89,2.03,False
CUST_00014,0.573,0.2311,Persuadable,2582.74,2026-04-02T00:56:15.490722,3527.9975,False,Email Voucher 10%,10,342.01,34.2,True
CUST_00015,0.1236,0.4278,Sure_Thing,7782.36,2026-04-02T00:56:15.490722,3527.9975,True,No Action,0,411.5,0.0,False
CUST_00016,0.1079,-0.1313,Sleeping_Dog,1003.65,2026-04-02T00:56:15.490722,3527.9975,False,SUPPRESS,0,0.0,0.0,False
CUST_00017,0.2451,0.3949,Sure_Thing,7279.72,2026-04-02T00:56:15.490722,3527.9975,True,No Action,0,704.6,0.0,False
CUST_00018,0.2825,0.0877,Sure_Thing,480.32,2026-04-02T00:56:15.490722,3527.9975,False,No Action,0,11.9,0.0,False
