customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService_encoded,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_encoded,PaperlessBilling,PaymentMethod_encoded,MonthlyCharges,TotalCharges,Churn_binary,created_at,recency_risk,service_count,charge_per_month,clv_proxy,is_high_value,contract_stability,digital_engagement,monthly_to_total_ratio,monetary_value
CUST_00000,0,1,0,1.0,0,0,1,0,1,0,0,0,0,0,1,0,29.85,29.85,0,2026-03-10 09:22:58.853052,0.5,1,14.925,14.925,0,0.0,1,0.9675850891410048,29.85
CUST_00001,0,0,0,34.0,1,0,1,1,0,1,0,0,0,1,0,1,56.95,1889.5,0,2026-03-10 09:22:58.853052,0.02857142857142857,3,1.6271428571428572,1835.5142857142857,0,34.0,0,0.03012430573922243,1889.5
CUST_00002,0,0,0,2.0,1,0,1,1,1,0,0,0,0,0,1,1,53.85,108.15,1,2026-03-10 09:22:58.853052,0.3333333333333333,3,17.95,72.10000000000001,0,0.0,1,0.4933577645442052,108.15
CUST_00003,0,0,0,45.0,0,0,1,1,0,1,1,0,0,1,0,2,42.3,1840.75,0,2026-03-10 09:22:58.853052,0.021739130434782608,3,0.9195652173913043,1800.733695652174,0,45.0,1,0.022967286548119994,1840.75
CUST_00004,0,0,0,2.0,1,0,2,0,0,0,0,0,0,0,1,0,70.7,151.65,1,2026-03-10 09:22:58.853052,0.3333333333333333,1,23.566666666666666,101.10000000000001,0,0.0,1,0.46315099901735995,151.65
CUST_00005,0,0,0,8.0,1,1,2,0,0,1,0,1,1,0,1,0,99.65,820.5,1,2026-03-10 09:22:58.853052,0.1111111111111111,5,11.072222222222223,729.3333333333333,0,0.0,1,0.12130249543517956,820.5
CUST_00006,0,0,1,22.0,1,1,2,0,1,0,0,1,0,0,1,3,89.1,1949.4,0,2026-03-10 09:22:58.853052,0.043478260869565216,4,3.8739130434782605,1864.6434782608696,0,0.0,2,0.04568293683347005,1949.4
CUST_00007,0,0,0,10.0,0,0,1,1,0,0,0,0,0,0,0,1,29.75,301.9,0,2026-03-10 09:22:58.853052,0.09090909090909091,1,2.7045454545454546,274.45454545454544,0,0.0,0,0.09821723341036646,301.9
CUST_00008,0,1,0,28.0,1,1,2,0,0,1,1,1,1,0,1,0,104.8,3046.05,1,2026-03-10 09:22:58.853052,0.034482758620689655,6,3.613793103448276,2941.0137931034487,0,0.0,1,0.03439392199012159,3046.05
CUST_00009,0,0,1,62.0,1,0,1,1,1,0,0,0,0,1,0,2,56.15,3487.95,0,2026-03-10 09:22:58.853052,0.015873015873015872,3,0.8912698412698412,3432.5857142857144,0,62.0,1,0.01609366714914229,3487.95
